V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.005 2.137
0.012 0.232
0.036 0.415
0.045 0.581
0.065 0.806
0.085 0.910
0.112 1.102
0.119 1.237
0.145 1.430
0.166 1.574
0.179 1.818
0.193 2.075
0.217 2.231
0.233 2.391
0.245 2.657
0.276 2.796
0.278 3.023
0.314 3.308
0.331 3.361
0.359 3.626
0.382 3.870
0.392 3.936
0.427 4.157
0.426 4.302
0.445 4.507
0.478 4.668
0.483 4.895
0.490 5.012
0.518 5.311
0.532 5.519
0.551 5.717
0.580 5.844
0.586 6.058
0.607 6.178
0.614 6.446
0.658 6.546
0.654 6.796
0.679 7.005
0.694 7.104
0.728 7.287
0.742 7.551
0.760 7.674
0.780 7.913
0.803 8.045
0.818 8.255
0.835 8.412
0.864 8.655
0.869 8.848
0.889 9.022
0.907 9.164
0.920 9.438
0.953 9.618
0.971 9.821
0.997 10.008
1.008 10.185
1.026 10.398
1.046 10.527
1.063 10.776
1.082 10.937
1.104 11.153
1.125 11.381
1.145 11.511
1.171 11.740
1.179 11.905
1.208 12.145
1.214 12.281
1.232 12.515
1.260 12.682
1.286 12.902
1.297 13.058
1.322 13.270
1.343 13.488
1.357 13.657
1.381 13.868
1.394 14.034
1.417 14.250
1.432 14.406
1.455 14.628
1.472 14.770
1.491 14.988
1.516 15.222
1.529 15.365
1.553 15.594
1.569 15.740
1.591 15.966
1.607 16.127
1.628 16.327
1.645 16.500
1.665 16.717
1.679 16.887
1.702 17.095
1.724 17.323
1.740 17.488
1.764 17.698
1.779 17.857
1.802 18.086
1.817 18.247
1.839 18.464
1.855 18.618
1.877 18.843
1.900 19.071
