V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.006 2.145
0.012 0.230
0.037 0.397
0.047 0.577
0.070 0.801
0.088 0.918
0.107 1.107
0.120 1.223
0.152 1.443
0.159 1.575
0.182 1.804
0.193 2.043
0.218 2.223
0.236 2.394
0.248 2.671
0.275 2.790
0.278 3.024
0.322 3.310
0.330 3.358
0.360 3.628
0.375 3.844
0.387 3.946
0.400 4.157
0.436 4.287
0.457 4.524
0.463 4.648
0.466 4.882
0.516 5.025
0.531 5.320
0.520 5.526
0.542 5.677
0.580 5.831
0.591 6.100
0.624 6.172
0.625 6.425
0.663 6.542
0.663 6.739
0.683 6.999
0.702 7.107
0.728 7.304
0.742 7.530
0.766 7.670
0.776 7.939
0.791 8.069
0.820 8.286
0.819 8.423
0.864 8.665
0.860 8.858
0.886 9.051
0.909 9.188
0.932 9.389
0.955 9.647
0.971 9.825
0.987 10.010
1.003 10.181
1.037 10.394
1.047 10.538
1.068 10.772
1.085 10.935
1.102 11.137
1.132 11.399
1.146 11.539
1.165 11.752
1.186 11.906
1.208 12.108
1.223 12.304
1.231 12.515
1.261 12.690
1.284 12.908
1.299 13.064
1.322 13.271
1.344 13.490
1.359 13.662
1.381 13.867
1.396 14.033
1.419 14.253
1.432 14.391
1.457 14.623
1.471 14.769
1.491 14.990
1.514 15.222
1.530 15.366
1.553 15.587
1.568 15.744
1.592 15.971
1.606 16.129
1.628 16.326
1.642 16.501
1.665 16.720
1.681 16.882
1.704 17.106
1.724 17.316
1.740 17.480
1.764 17.701
1.778 17.862
1.801 18.079
1.817 18.244
1.839 18.463
1.854 18.622
1.877 18.847
1.900 19.064
