V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.006 2.145
0.012 0.229
0.036 0.404
0.048 0.588
0.070 0.809
0.086 0.910
0.109 1.101
0.119 1.209
0.150 1.431
0.157 1.572
0.188 1.791
0.195 2.027
0.218 2.234
0.239 2.396
0.246 2.686
0.269 2.782
0.280 3.027
0.320 3.305
0.338 3.349
0.353 3.623
0.381 3.861
0.385 3.954
0.414 4.151
0.426 4.298
0.453 4.519
0.454 4.633
0.467 4.884
0.499 5.025
0.524 5.337
0.522 5.525
0.560 5.637
0.595 5.820
0.583 6.065
0.613 6.177
0.625 6.413
0.666 6.547
0.663 6.753
0.678 7.000
0.698 7.078
0.741 7.274
0.742 7.557
0.759 7.682
0.783 7.941
0.798 8.055
0.822 8.284
0.847 8.446
0.857 8.635
0.873 8.848
0.893 9.048
0.917 9.221
0.925 9.438
0.949 9.660
0.971 9.797
0.991 9.995
1.004 10.136
1.036 10.391
1.042 10.557
1.074 10.770
1.086 10.937
1.108 11.152
1.132 11.395
1.150 11.543
1.172 11.732
1.178 11.925
1.207 12.113
1.217 12.291
1.234 12.512
1.259 12.683
1.286 12.900
1.297 13.055
1.321 13.279
1.344 13.507
1.359 13.657
1.383 13.871
1.395 14.028
1.418 14.253
1.433 14.402
1.454 14.617
1.471 14.766
1.491 14.991
1.515 15.235
1.531 15.361
1.553 15.590
1.568 15.744
1.589 15.963
1.605 16.130
1.628 16.330
1.644 16.500
1.667 16.716
1.679 16.881
1.703 17.100
1.726 17.320
1.741 17.485
1.764 17.692
1.779 17.861
1.802 18.084
1.817 18.234
1.839 18.460
1.854 18.626
1.877 18.839
1.900 19.067
