V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.005 2.142
0.013 0.236
0.034 0.399
0.047 0.580
0.070 0.804
0.084 0.913
0.105 1.096
0.116 1.209
0.143 1.451
0.154 1.574
0.179 1.796
0.193 2.031
0.216 2.214
0.243 2.402
0.249 2.669
0.267 2.778
0.274 3.017
0.320 3.280
0.331 3.355
0.351 3.619
0.373 3.841
0.386 3.901
0.413 4.156
0.440 4.288
0.462 4.523
0.474 4.690
0.478 4.884
0.494 5.027
0.519 5.293
0.530 5.528
0.552 5.712
0.590 5.796
0.578 6.057
0.615 6.180
0.637 6.421
0.648 6.542
0.668 6.776
0.683 7.008
0.699 7.086
0.725 7.305
0.732 7.555
0.775 7.667
0.775 7.886
0.793 8.068
0.818 8.293
0.833 8.450
0.849 8.647
0.866 8.848
0.893 9.040
0.906 9.173
0.929 9.411
0.952 9.656
0.961 9.815
0.985 10.009
1.011 10.173
1.029 10.381
1.042 10.550
1.074 10.769
1.080 10.942
1.112 11.153
1.126 11.398
1.143 11.517
1.171 11.753
1.180 11.915
1.207 12.144
1.220 12.288
1.227 12.511
1.261 12.677
1.285 12.894
1.298 13.060
1.322 13.289
1.344 13.495
1.358 13.659
1.382 13.871
1.397 14.030
1.419 14.253
1.434 14.401
1.455 14.620
1.473 14.769
1.493 14.991
1.514 15.234
1.531 15.364
1.553 15.591
1.568 15.735
1.590 15.962
1.608 16.130
1.630 16.334
1.644 16.498
1.666 16.713
1.679 16.878
1.703 17.092
1.728 17.324
1.741 17.490
1.764 17.698
1.779 17.860
1.801 18.082
1.817 18.237
1.838 18.461
1.854 18.620
1.877 18.841
1.900 19.067
