V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.006 2.133
0.013 0.227
0.035 0.404
0.048 0.579
0.068 0.812
0.086 0.916
0.105 1.095
0.127 1.221
0.151 1.441
0.154 1.573
0.185 1.808
0.202 2.069
0.205 2.240
0.242 2.417
0.244 2.641
0.261 2.788
0.277 3.019
0.311 3.312
0.339 3.335
0.352 3.611
0.377 3.871
0.389 3.952
0.412 4.122
0.426 4.297
0.456 4.532
0.475 4.689
0.488 4.919
0.515 5.008
0.532 5.332
0.523 5.526
0.555 5.668
0.576 5.815
0.596 6.037
0.625 6.176
0.624 6.453
0.654 6.531
0.657 6.790
0.675 7.003
0.692 7.101
0.716 7.295
0.739 7.584
0.757 7.665
0.783 7.913
0.797 8.034
0.822 8.254
0.847 8.446
0.855 8.653
0.863 8.815
0.888 9.024
0.917 9.223
0.938 9.427
0.959 9.609
0.969 9.809
0.988 9.984
1.014 10.182
1.034 10.396
1.051 10.566
1.061 10.770
1.084 10.923
1.105 11.135
1.132 11.390
1.139 11.534
1.171 11.738
1.183 11.907
1.200 12.126
1.223 12.298
1.241 12.516
1.261 12.692
1.284 12.902
1.297 13.055
1.322 13.272
1.343 13.502
1.359 13.664
1.380 13.856
1.394 14.026
1.418 14.254
1.433 14.399
1.455 14.618
1.472 14.776
1.493 14.989
1.516 15.223
1.532 15.364
1.551 15.594
1.568 15.742
1.589 15.955
1.605 16.132
1.630 16.333
1.645 16.498
1.665 16.721
1.679 16.886
1.703 17.092
1.726 17.325
1.740 17.481
1.763 17.699
1.777 17.861
1.802 18.079
1.816 18.240
1.839 18.465
1.855 18.619
1.877 18.840
1.900 19.070
