V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.005 2.134
0.012 0.227
0.036 0.409
0.049 0.586
0.069 0.806
0.087 0.917
0.113 1.097
0.114 1.199
0.141 1.446
0.153 1.581
0.179 1.791
0.190 2.088
0.210 2.236
0.235 2.408
0.245 2.681
0.272 2.790
0.283 3.030
0.306 3.290
0.336 3.321
0.350 3.610
0.375 3.852
0.401 3.935
0.423 4.147
0.428 4.300
0.457 4.500
0.478 4.674
0.477 4.917
0.493 5.034
0.533 5.337
0.521 5.498
0.557 5.722
0.587 5.846
0.588 6.101
0.622 6.176
0.636 6.416
0.632 6.544
0.662 6.783
0.678 7.013
0.706 7.101
0.720 7.300
0.744 7.548
0.759 7.689
0.781 7.915
0.793 8.063
0.831 8.263
0.846 8.412
0.858 8.641
0.864 8.829
0.905 9.019
0.902 9.217
0.931 9.385
0.951 9.648
0.960 9.780
0.999 10.014
1.014 10.152
1.025 10.368
1.035 10.546
1.074 10.725
1.076 10.942
1.110 11.120
1.132 11.392
1.150 11.506
1.164 11.736
1.181 11.922
1.204 12.135
1.216 12.301
1.240 12.522
1.261 12.688
1.285 12.895
1.299 13.061
1.322 13.282
1.343 13.493
1.358 13.658
1.381 13.867
1.395 14.033
1.418 14.251
1.434 14.398
1.456 14.612
1.470 14.768
1.491 14.990
1.517 15.220
1.530 15.370
1.552 15.605
1.568 15.739
1.589 15.954
1.606 16.127
1.630 16.327
1.642 16.501
1.665 16.721
1.680 16.887
1.704 17.095
1.725 17.330
1.741 17.488
1.764 17.699
1.779 17.854
1.801 18.079
1.816 18.239
1.839 18.465
1.854 18.622
1.878 18.846
1.900 19.064
