V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.005 2.139
0.013 0.219
0.034 0.402
0.047 0.586
0.069 0.807
0.087 0.915
0.106 1.090
0.124 1.248
0.145 1.436
0.154 1.578
0.183 1.816
0.193 2.040
0.216 2.240
0.237 2.388
0.244 2.691
0.266 2.782
0.277 3.019
0.305 3.302
0.337 3.317
0.349 3.623
0.368 3.831
0.396 3.948
0.416 4.169
0.424 4.301
0.447 4.528
0.478 4.663
0.487 4.888
0.490 5.022
0.514 5.317
0.534 5.533
0.566 5.681
0.569 5.838
0.587 6.112
0.625 6.176
0.632 6.444
0.657 6.532
0.659 6.710
0.688 6.990
0.707 7.096
0.725 7.308
0.745 7.583
0.767 7.673
0.786 7.935
0.790 8.062
0.809 8.283
0.830 8.452
0.860 8.674
0.873 8.819
0.897 9.031
0.917 9.213
0.935 9.426
0.955 9.646
0.968 9.792
0.996 9.986
1.015 10.169
1.037 10.389
1.040 10.546
1.065 10.753
1.080 10.931
1.108 11.153
1.126 11.391
1.142 11.523
1.164 11.747
1.181 11.913
1.200 12.112
1.223 12.280
1.246 12.510
1.261 12.686
1.285 12.891
1.297 13.056
1.322 13.274
1.344 13.499
1.359 13.662
1.381 13.864
1.395 14.028
1.418 14.251
1.433 14.396
1.454 14.626
1.471 14.773
1.493 14.999
1.515 15.231
1.530 15.363
1.553 15.597
1.567 15.740
1.591 15.962
1.605 16.123
1.627 16.333
1.644 16.499
1.665 16.716
1.681 16.884
1.704 17.103
1.726 17.322
1.741 17.486
1.764 17.702
1.778 17.862
1.801 18.081
1.817 18.239
1.839 18.466
1.855 18.624
1.877 18.835
1.900 19.065
