V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.006 2.144
0.013 0.222
0.037 0.400
0.049 0.578
0.069 0.806
0.083 0.914
0.110 1.095
0.124 1.230
0.144 1.437
0.159 1.573
0.178 1.810
0.199 2.064
0.216 2.225
0.229 2.405
0.248 2.693
0.268 2.781
0.279 3.024
0.323 3.307
0.346 3.348
0.348 3.628
0.364 3.880
0.397 3.910
0.412 4.159
0.433 4.298
0.445 4.523
0.465 4.631
0.481 4.910
0.497 5.033
0.515 5.301
0.523 5.509
0.546 5.730
0.595 5.805
0.577 6.057
0.628 6.176
0.634 6.395
0.650 6.541
0.657 6.790
0.668 6.987
0.699 7.081
0.737 7.280
0.751 7.579
0.756 7.670
0.792 7.944
0.798 8.063
0.825 8.279
0.823 8.454
0.863 8.631
0.870 8.839
0.886 9.045
0.906 9.209
0.924 9.408
0.946 9.662
0.964 9.770
0.989 9.991
1.012 10.169
1.031 10.396
1.051 10.561
1.065 10.778
1.078 10.937
1.105 11.153
1.126 11.374
1.145 11.529
1.169 11.760
1.179 11.897
1.202 12.130
1.223 12.305
1.234 12.513
1.262 12.693
1.283 12.901
1.298 13.057
1.320 13.270
1.344 13.494
1.358 13.661
1.381 13.869
1.395 14.028
1.419 14.255
1.432 14.407
1.454 14.616
1.471 14.772
1.492 15.005
1.516 15.222
1.532 15.365
1.554 15.592
1.567 15.740
1.591 15.967
1.607 16.132
1.628 16.324
1.644 16.494
1.667 16.713
1.678 16.890
1.703 17.091
1.726 17.322
1.741 17.478
1.764 17.694
1.779 17.855
1.801 18.078
1.816 18.236
1.839 18.462
1.855 18.624
1.877 18.835
1.900 19.068
