V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.006 2.133
0.013 0.226
0.034 0.411
0.049 0.589
0.070 0.805
0.087 0.910
0.108 1.090
0.119 1.221
0.142 1.439
0.146 1.574
0.182 1.816
0.198 2.038
0.219 2.236
0.233 2.412
0.244 2.683
0.264 2.776
0.283 3.030
0.324 3.270
0.328 3.304
0.362 3.605
0.368 3.872
0.379 3.944
0.414 4.157
0.425 4.303
0.461 4.518
0.455 4.690
0.484 4.916
0.515 5.013
0.526 5.306
0.535 5.529
0.567 5.723
0.589 5.838
0.601 6.103
0.624 6.176
0.624 6.454
0.668 6.542
0.664 6.731
0.678 6.971
0.702 7.091
0.732 7.274
0.732 7.550
0.758 7.679
0.780 7.936
0.787 8.066
0.818 8.283
0.831 8.451
0.854 8.660
0.872 8.846
0.897 8.991
0.918 9.196
0.930 9.442
0.960 9.652
0.971 9.816
1.000 10.016
1.004 10.186
1.034 10.391
1.047 10.564
1.069 10.773
1.088 10.946
1.103 11.121
1.128 11.393
1.148 11.520
1.166 11.760
1.179 11.895
1.198 12.135
1.223 12.290
1.246 12.508
1.261 12.688
1.286 12.897
1.297 13.059
1.321 13.268
1.344 13.494
1.357 13.661
1.383 13.867
1.394 14.023
1.418 14.258
1.435 14.391
1.454 14.621
1.471 14.774
1.495 14.987
1.514 15.227
1.531 15.373
1.551 15.589
1.570 15.751
1.590 15.966
1.605 16.130
1.627 16.344
1.644 16.503
1.665 16.712
1.681 16.885
1.704 17.095
1.724 17.317
1.742 17.495
1.764 17.697
1.778 17.860
1.801 18.081
1.817 18.237
1.839 18.456
1.855 18.619
1.877 18.844
1.900 19.071
