V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.116
0.049 -0.002
0.105 -0.001
0.145 0.004
0.198 -0.006
0.238 0.001
0.288 -0.008
0.326 -0.003
0.382 0.001
0.423 -0.007
0.481 -0.004
0.537 0.002
0.585 0.000
0.631 0.001
0.674 0.001
0.732 0.018
0.759 0.046
0.831 0.000
0.868 -0.009
0.941 0.008
0.988 -0.006
1.029 -0.008
1.077 0.000
1.142 -0.009
1.178 -0.003
1.233 -0.021
1.281 -0.007
1.313 -0.003
1.372 -0.004
1.409 -0.002
1.465 -0.000
1.533 0.008
1.562 -0.004
1.613 -0.001
1.675 0.013
1.702 0.028
1.740 0.098
1.774 0.214
1.811 0.368
1.835 0.549
1.851 0.811
1.849 1.013
1.876 1.274
1.875 1.473
1.886 1.715
1.884 1.959
1.907 2.241
1.917 2.408
1.916 2.763
1.920 2.970
1.942 3.225
1.936 3.569
1.943 3.823
1.954 4.084
1.962 4.338
1.970 4.652
1.979 4.862
1.985 5.139
1.989 5.388
1.995 5.666
1.999 6.018
2.007 6.232
2.014 6.594
2.013 6.803
2.018 7.129
2.022 7.364
2.033 7.688
2.038 7.913
2.043 8.231
2.046 8.460
2.052 8.788
2.057 9.119
2.060 9.360
2.066 9.660
2.069 9.904
2.074 10.229
2.077 10.458
2.083 10.779
2.086 10.994
2.091 11.315
2.096 11.656
2.098 11.890
2.105 12.207
2.107 12.439
2.113 12.772
2.115 12.994
2.120 13.325
2.124 13.550
2.130 13.860
2.130 14.100
2.135 14.429
2.141 14.763
2.144 15.000
2.149 15.335
2.153 15.559
2.157 15.891
2.159 16.124
2.166 16.450
2.169 16.682
2.174 17.018
2.178 17.339
