V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.052 0.115
0.049 0.007
0.106 -0.008
0.144 -0.007
0.195 0.005
0.234 0.010
0.287 0.008
0.326 -0.001
0.384 0.002
0.426 -0.008
0.480 -0.006
0.535 -0.007
0.579 -0.003
0.635 0.004
0.672 -0.001
0.727 0.010
0.764 0.044
0.849 -0.002
0.878 -0.011
0.922 -0.003
0.989 -0.001
1.029 -0.005
1.075 -0.007
1.135 0.002
1.180 0.000
1.223 -0.009
1.275 -0.000
1.311 0.000
1.377 -0.005
1.418 0.001
1.481 -0.001
1.514 0.001
1.567 0.000
1.610 0.001
1.668 0.008
1.702 0.040
1.753 0.087
1.777 0.210
1.809 0.353
1.818 0.543
1.851 0.820
1.851 1.000
1.865 1.245
1.878 1.414
1.875 1.706
1.894 1.910
1.904 2.217
1.912 2.469
1.914 2.738
1.925 2.931
1.932 3.240
1.944 3.589
1.950 3.756
1.953 4.075
1.964 4.330
1.966 4.642
1.976 4.874
1.982 5.174
1.987 5.380
1.995 5.729
1.998 6.056
2.002 6.277
2.009 6.528
2.013 6.782
2.022 7.127
2.020 7.340
2.032 7.688
2.039 7.914
2.043 8.239
2.047 8.464
2.052 8.783
2.058 9.119
2.060 9.342
2.067 9.660
2.071 9.889
2.075 10.220
2.079 10.457
2.084 10.775
2.086 11.006
2.092 11.312
2.096 11.656
2.099 11.892
2.106 12.206
2.108 12.458
2.111 12.773
2.116 12.996
2.119 13.326
2.124 13.546
2.129 13.858
2.131 14.103
2.136 14.430
2.142 14.762
2.144 15.000
2.149 15.329
2.154 15.559
2.157 15.882
2.161 16.120
2.166 16.445
2.169 16.694
2.174 17.017
2.179 17.346
