V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.052 0.106
0.050 -0.004
0.106 -0.003
0.146 -0.003
0.201 0.000
0.235 -0.010
0.290 -0.001
0.321 -0.000
0.383 -0.006
0.425 0.004
0.472 -0.007
0.539 0.006
0.585 0.001
0.632 0.002
0.668 0.006
0.725 0.010
0.760 0.042
0.829 -0.000
0.875 0.001
0.914 -0.003
1.005 0.004
1.018 0.006
1.103 0.001
1.142 0.001
1.172 -0.002
1.236 -0.010
1.279 -0.000
1.305 -0.004
1.385 -0.010
1.412 -0.002
1.475 0.002
1.540 -0.001
1.572 0.005
1.611 0.001
1.657 -0.002
1.708 0.028
1.759 0.081
1.771 0.219
1.797 0.349
1.836 0.556
1.840 0.833
1.849 1.015
1.866 1.280
1.882 1.424
1.896 1.691
1.894 1.955
1.906 2.201
1.911 2.463
1.926 2.760
1.924 2.956
1.935 3.268
1.951 3.551
1.951 3.776
1.955 4.096
1.958 4.309
1.972 4.604
1.976 4.863
1.981 5.184
1.987 5.397
1.995 5.721
1.998 6.060
2.007 6.261
2.011 6.570
2.016 6.797
2.018 7.139
2.022 7.347
2.025 7.680
2.038 7.910
2.044 8.228
2.047 8.459
2.053 8.782
2.057 9.119
2.061 9.345
2.066 9.664
2.071 9.903
2.075 10.218
2.078 10.453
2.084 10.763
2.087 10.981
2.092 11.313
2.098 11.657
2.101 11.884
2.104 12.197
2.109 12.438
2.111 12.761
2.115 12.984
2.121 13.328
2.125 13.551
2.130 13.865
2.134 14.097
2.138 14.425
2.141 14.759
2.144 15.004
2.149 15.326
2.152 15.559
2.158 15.888
2.161 16.118
2.166 16.447
2.170 16.689
2.174 17.014
2.179 17.348
