V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.110
0.050 0.001
0.105 0.001
0.146 -0.004
0.201 0.000
0.235 0.005
0.289 0.000
0.331 0.000
0.383 -0.003
0.431 0.000
0.474 0.006
0.538 -0.003
0.576 -0.001
0.636 -0.005
0.674 -0.006
0.728 0.024
0.759 0.021
0.822 0.000
0.867 -0.003
0.922 -0.001
0.982 -0.002
1.031 -0.001
1.089 -0.001
1.120 0.000
1.182 -0.005
1.219 0.000
1.269 -0.006
1.308 -0.007
1.367 -0.000
1.411 0.007
1.464 -0.006
1.519 -0.005
1.578 -0.009
1.609 -0.003
1.658 0.007
1.722 0.033
1.726 0.092
1.793 0.219
1.785 0.363
1.831 0.530
1.848 0.828
1.862 1.000
1.865 1.276
1.885 1.456
1.886 1.715
1.895 1.956
1.908 2.242
1.908 2.408
1.917 2.751
1.918 2.979
1.934 3.253
1.941 3.543
1.949 3.778
1.953 4.070
1.961 4.340
1.973 4.637
1.975 4.873
1.980 5.103
1.987 5.423
1.996 5.702
2.000 6.046
2.005 6.220
2.011 6.586
2.017 6.810
2.017 7.065
2.028 7.341
2.022 7.684
2.040 7.903
2.044 8.220
2.048 8.451
2.053 8.783
2.059 9.111
2.062 9.342
2.068 9.656
2.070 9.903
2.075 10.216
2.080 10.450
2.083 10.770
2.087 10.993
2.092 11.306
2.096 11.646
2.099 11.884
2.105 12.198
2.109 12.439
2.113 12.757
2.116 13.004
2.121 13.323
2.124 13.553
2.130 13.871
2.132 14.094
2.138 14.420
2.140 14.762
2.145 15.001
2.149 15.326
2.153 15.551
2.159 15.879
2.162 16.122
2.166 16.444
2.170 16.677
2.175 17.016
2.179 17.340
