V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.052 0.108
0.049 0.001
0.107 0.001
0.143 -0.001
0.202 0.001
0.236 0.006
0.285 -0.000
0.329 0.006
0.382 -0.005
0.431 0.007
0.481 0.000
0.538 0.001
0.585 -0.004
0.628 -0.006
0.671 0.001
0.726 0.009
0.759 0.052
0.826 0.000
0.879 -0.001
0.933 0.002
0.983 -0.004
1.046 -0.010
1.103 0.006
1.135 0.004
1.180 -0.009
1.217 -0.001
1.280 -0.002
1.304 -0.003
1.379 0.008
1.402 -0.002
1.481 -0.004
1.539 -0.005
1.572 0.003
1.635 0.011
1.669 0.013
1.711 0.037
1.759 0.095
1.762 0.211
1.801 0.341
1.835 0.568
1.838 0.836
1.852 0.977
1.871 1.273
1.872 1.472
1.880 1.708
1.891 1.909
1.902 2.206
1.914 2.468
1.911 2.761
1.924 2.962
1.928 3.274
1.939 3.570
1.955 3.761
1.956 4.117
1.960 4.331
1.971 4.639
1.979 4.833
1.984 5.145
1.988 5.422
1.993 5.730
1.999 6.049
2.004 6.225
2.012 6.583
2.012 6.819
2.021 7.116
2.025 7.365
2.018 7.690
2.037 7.913
2.042 8.242
2.047 8.462
2.052 8.793
2.057 9.122
2.062 9.347
2.065 9.663
2.068 9.897
2.074 10.223
2.078 10.455
2.084 10.766
2.088 10.988
2.092 11.306
2.097 11.645
2.100 11.894
2.104 12.204
2.107 12.449
2.113 12.780
2.115 12.996
2.120 13.326
2.123 13.554
2.128 13.862
2.130 14.105
2.135 14.431
2.142 14.765
2.144 15.001
2.149 15.339
2.152 15.566
2.156 15.891
2.160 16.129
2.166 16.458
2.168 16.687
2.174 17.021
2.179 17.342
