V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.052 0.111
0.049 -0.001
0.107 0.000
0.145 0.006
0.198 -0.001
0.235 0.011
0.291 -0.008
0.322 0.012
0.379 -0.003
0.425 -0.004
0.475 -0.001
0.537 0.010
0.575 -0.003
0.624 0.002
0.674 0.000
0.724 0.008
0.759 0.046
0.833 0.003
0.872 -0.003
0.933 -0.005
0.987 -0.001
1.046 0.005
1.086 -0.006
1.112 0.004
1.176 -0.001
1.224 -0.007
1.284 -0.000
1.318 0.001
1.370 -0.003
1.407 -0.006
1.466 -0.011
1.514 -0.003
1.559 0.001
1.636 0.000
1.668 0.008
1.730 0.026
1.750 0.086
1.794 0.206
1.797 0.365
1.828 0.544
1.852 0.787
1.849 0.971
1.861 1.199
1.885 1.467
1.886 1.758
1.888 1.949
1.910 2.247
1.921 2.412
1.923 2.729
1.935 2.921
1.943 3.275
1.937 3.585
1.956 3.762
1.956 4.120
1.964 4.338
1.971 4.591
1.978 4.863
1.986 5.144
1.984 5.410
1.996 5.685
1.998 6.062
2.008 6.225
2.010 6.541
2.015 6.776
2.022 7.098
2.028 7.348
2.034 7.677
2.038 7.913
2.044 8.226
2.048 8.463
2.052 8.783
2.059 9.114
2.062 9.339
2.067 9.655
2.071 9.891
2.076 10.210
2.080 10.449
2.086 10.758
2.088 10.988
2.093 11.315
2.097 11.647
2.101 11.881
2.104 12.196
2.109 12.436
2.114 12.767
2.118 12.989
2.119 13.310
2.124 13.541
2.129 13.861
2.133 14.105
2.138 14.431
2.142 14.757
2.145 15.003
2.150 15.324
2.153 15.563
2.158 15.889
2.161 16.119
2.167 16.444
2.169 16.682
2.175 17.013
2.179 17.341
