V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.052 0.110
0.050 -0.006
0.105 -0.003
0.144 0.006
0.200 0.003
0.238 0.001
0.294 -0.000
0.329 0.005
0.381 -0.006
0.429 0.000
0.473 -0.005
0.538 -0.006
0.574 -0.004
0.633 0.002
0.663 0.005
0.726 0.017
0.765 0.035
0.833 -0.003
0.880 -0.003
0.920 -0.004
0.974 -0.000
1.032 -0.005
1.085 0.004
1.134 0.002
1.191 0.009
1.230 0.004
1.279 -0.006
1.314 -0.006
1.379 0.004
1.405 -0.003
1.459 -0.002
1.540 -0.007
1.563 -0.001
1.636 -0.009
1.676 0.005
1.729 0.036
1.732 0.075
1.793 0.213
1.796 0.366
1.829 0.555
1.837 0.822
1.851 0.998
1.873 1.248
1.864 1.462
1.896 1.707
1.900 1.956
1.904 2.249
1.920 2.402
1.918 2.756
1.929 2.940
1.936 3.235
1.939 3.582
1.949 3.755
1.957 4.116
1.957 4.325
1.972 4.648
1.973 4.870
1.986 5.144
1.988 5.417
1.995 5.718
2.000 6.026
2.004 6.210
2.014 6.553
2.014 6.773
2.020 7.124
2.026 7.366
2.027 7.675
2.037 7.918
2.044 8.234
2.048 8.469
2.053 8.776
2.058 9.115
2.062 9.341
2.067 9.656
2.071 9.893
2.076 10.225
2.080 10.456
2.082 10.763
2.087 10.986
2.092 11.315
2.099 11.652
2.098 11.880
2.105 12.203
2.108 12.444
2.113 12.774
2.115 12.990
2.121 13.316
2.125 13.549
2.130 13.860
2.131 14.110
2.137 14.419
2.142 14.756
2.143 14.997
2.150 15.340
2.152 15.559
2.157 15.891
2.162 16.122
2.166 16.448
2.169 16.679
2.174 17.003
2.179 17.343
