V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.052 0.110
0.049 -0.003
0.106 -0.001
0.145 0.004
0.199 -0.005
0.236 -0.002
0.294 -0.008
0.325 0.004
0.386 -0.001
0.424 -0.001
0.480 -0.001
0.538 0.005
0.575 -0.005
0.635 0.000
0.667 -0.005
0.729 0.009
0.763 0.040
0.838 -0.004
0.869 -0.001
0.933 -0.009
0.992 -0.003
1.017 -0.005
1.083 -0.005
1.109 -0.000
1.167 0.001
1.235 -0.002
1.279 -0.001
1.321 0.004
1.385 0.004
1.402 -0.001
1.475 0.004
1.518 0.000
1.555 -0.005
1.623 0.004
1.669 0.009
1.721 0.039
1.748 0.094
1.791 0.217
1.810 0.334
1.821 0.560
1.839 0.819
1.856 1.007
1.873 1.230
1.875 1.471
1.891 1.748
1.897 1.965
1.901 2.206
1.909 2.458
1.919 2.739
1.923 2.915
1.934 3.274
1.942 3.548
1.953 3.812
1.955 4.120
1.968 4.324
1.970 4.637
1.974 4.828
1.980 5.189
1.986 5.412
1.995 5.669
1.999 6.055
2.008 6.237
2.008 6.587
2.017 6.770
2.018 7.104
2.028 7.365
2.030 7.684
2.039 7.906
2.043 8.228
2.047 8.463
2.053 8.782
2.058 9.112
2.062 9.351
2.066 9.652
2.071 9.892
2.076 10.220
2.077 10.449
2.082 10.767
2.086 10.988
2.091 11.315
2.097 11.652
2.099 11.884
2.106 12.205
2.107 12.436
2.113 12.776
2.115 12.998
2.119 13.319
2.124 13.552
2.128 13.867
2.131 14.102
2.137 14.428
2.141 14.749
2.146 15.000
2.151 15.334
2.152 15.554
2.158 15.882
2.161 16.121
2.166 16.455
2.169 16.688
2.175 17.019
2.180 17.336
