V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.055 0.102
0.050 0.001
0.105 0.000
0.144 -0.004
0.202 0.001
0.234 -0.012
0.286 -0.004
0.323 -0.001
0.378 -0.000
0.426 0.000
0.468 -0.006
0.535 -0.001
0.579 0.000
0.626 -0.004
0.662 0.003
0.734 0.019
0.761 0.027
0.848 -0.000
0.886 0.000
0.916 -0.013
0.980 -0.004
1.010 -0.001
1.078 -0.019
1.142 -0.003
1.174 -0.005
1.235 -0.009
1.276 -0.010
1.319 -0.002
1.379 0.005
1.408 0.001
1.468 -0.002
1.524 -0.006
1.578 -0.002
1.613 -0.003
1.657 -0.004
1.731 -0.011
1.759 0.000
1.831 -0.003
1.845 -0.007
1.921 0.003
1.963 0.003
2.009 -0.004
2.083 -0.009
2.101 0.002
2.182 -0.012
2.222 -0.004
2.279 -0.007
2.299 0.004
2.351 0.014
2.392 0.056
2.432 0.155
2.473 0.349
2.483 0.522
2.503 0.752
2.516 0.906
2.529 1.209
2.535 1.375
2.544 1.684
2.555 1.883
2.568 2.166
2.578 2.449
2.588 2.691
2.593 3.009
2.600 3.221
2.607 3.492
2.611 3.731
2.612 4.050
2.628 4.273
2.636 4.580
2.642 4.813
2.648 5.111
2.654 5.446
2.659 5.674
2.664 5.983
2.669 6.216
2.675 6.538
2.678 6.763
2.684 7.067
2.688 7.295
2.692 7.614
2.699 7.943
2.705 8.163
2.709 8.494
2.712 8.729
2.717 9.040
2.720 9.272
2.726 9.601
2.729 9.833
2.733 10.151
2.737 10.388
2.741 10.714
2.746 11.043
2.749 11.283
2.756 11.604
2.757 11.832
2.763 12.166
2.766 12.399
2.770 12.745
2.774 12.985
2.779 13.307
2.784 13.636
