V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.055 0.108
0.050 0.000
0.105 -0.012
0.142 0.001
0.199 -0.012
0.236 0.016
0.294 -0.006
0.323 -0.000
0.382 -0.005
0.429 0.006
0.480 -0.001
0.535 -0.002
0.572 -0.003
0.627 -0.002
0.667 0.003
0.731 0.000
0.757 0.033
0.833 -0.002
0.862 0.009
0.946 -0.015
0.990 -0.005
1.018 -0.009
1.088 -0.002
1.135 0.001
1.188 -0.006
1.233 -0.011
1.260 -0.006
1.325 0.004
1.368 -0.007
1.399 0.002
1.476 0.001
1.523 -0.006
1.564 -0.007
1.617 -0.009
1.662 -0.007
1.707 0.001
1.748 -0.015
1.814 -0.004
1.845 -0.002
1.914 -0.001
1.981 0.000
2.025 -0.001
2.057 -0.004
2.122 -0.002
2.158 -0.002
2.214 0.001
2.278 -0.002
2.290 0.002
2.373 0.023
2.386 0.053
2.440 0.169
2.474 0.334
2.487 0.491
2.497 0.752
2.519 0.902
2.525 1.199
2.542 1.365
2.550 1.625
2.561 1.832
2.565 2.175
2.579 2.496
2.584 2.701
2.593 3.000
2.600 3.217
2.605 3.534
2.615 3.713
2.621 4.048
2.630 4.272
2.637 4.594
2.640 4.818
2.649 5.123
2.655 5.441
2.659 5.663
2.666 5.981
2.669 6.220
2.675 6.533
2.679 6.756
2.685 7.065
2.689 7.305
2.694 7.608
2.700 7.944
2.702 8.173
2.710 8.491
2.713 8.726
2.717 9.040
2.722 9.261
2.726 9.583
2.730 9.826
2.734 10.143
2.738 10.383
2.742 10.705
2.747 11.039
2.749 11.282
2.754 11.606
2.759 11.831
2.763 12.167
2.767 12.406
2.772 12.741
2.774 12.972
2.779 13.304
2.784 13.628
