V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.055 0.104
0.050 -0.002
0.105 -0.010
0.145 0.007
0.199 -0.001
0.234 -0.009
0.290 -0.002
0.326 -0.006
0.380 -0.001
0.426 -0.004
0.477 -0.005
0.536 0.001
0.584 0.002
0.635 0.000
0.675 0.000
0.724 0.011
0.766 0.041
0.851 -0.001
0.868 0.008
0.925 0.001
0.994 0.003
1.046 0.008
1.096 0.002
1.135 0.003
1.186 0.002
1.229 0.006
1.279 0.006
1.301 0.001
1.361 -0.009
1.409 0.000
1.481 -0.004
1.536 0.001
1.578 -0.003
1.613 -0.004
1.672 0.003
1.711 -0.006
1.760 -0.010
1.804 -0.004
1.864 0.001
1.909 -0.003
1.968 0.002
2.007 0.005
2.069 -0.005
2.122 -0.006
2.162 -0.005
2.211 -0.000
2.279 -0.007
2.289 -0.000
2.354 0.016
2.405 0.052
2.437 0.149
2.472 0.344
2.478 0.526
2.496 0.761
2.510 0.947
2.525 1.157
2.535 1.418
2.546 1.703
2.558 1.893
2.566 2.195
2.574 2.449
2.582 2.719
2.590 3.023
2.600 3.228
2.607 3.525
2.608 3.758
2.618 4.059
2.627 4.290
2.635 4.608
2.639 4.838
2.646 5.139
2.653 5.462
2.656 5.677
2.661 6.000
2.666 6.229
2.671 6.544
2.677 6.777
2.682 7.095
2.684 7.310
2.690 7.635
2.695 7.954
2.700 8.181
2.704 8.514
2.709 8.752
2.713 9.054
2.718 9.287
2.723 9.620
2.726 9.843
2.731 10.163
2.734 10.394
2.738 10.734
2.744 11.057
2.747 11.298
2.751 11.622
2.754 11.859
2.760 12.188
2.764 12.419
2.768 12.759
2.771 12.994
2.776 13.326
2.780 13.660
