V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.055 0.106
0.049 0.001
0.108 0.000
0.146 -0.008
0.203 -0.006
0.236 -0.007
0.288 -0.012
0.323 0.008
0.381 -0.001
0.432 -0.005
0.475 -0.001
0.536 -0.005
0.586 -0.012
0.627 -0.003
0.666 0.002
0.725 0.023
0.758 0.038
0.827 -0.003
0.886 0.000
0.946 -0.011
1.006 -0.006
1.015 0.000
1.084 0.005
1.131 -0.000
1.182 -0.006
1.204 -0.001
1.274 -0.008
1.312 -0.001
1.373 -0.002
1.420 -0.001
1.474 0.006
1.539 -0.004
1.554 0.005
1.616 -0.006
1.676 -0.013
1.707 -0.006
1.758 -0.009
1.817 -0.009
1.853 -0.003
1.903 -0.001
1.972 -0.000
2.000 0.005
2.063 -0.004
2.097 0.003
2.153 0.001
2.204 -0.003
2.255 0.002
2.297 0.003
2.374 0.011
2.401 0.050
2.429 0.172
2.465 0.361
2.482 0.502
2.492 0.721
2.519 0.941
2.526 1.208
2.541 1.372
2.550 1.652
2.561 1.891
2.569 2.158
2.578 2.458
2.583 2.700
2.593 3.011
2.600 3.163
2.607 3.521
2.610 3.746
2.608 4.042
2.629 4.276
2.635 4.596
2.641 4.819
2.648 5.118
2.654 5.446
2.658 5.669
2.665 5.981
2.669 6.219
2.675 6.535
2.677 6.761
2.684 7.073
2.688 7.295
2.694 7.614
2.700 7.949
2.704 8.177
2.709 8.494
2.711 8.728
2.716 9.048
2.721 9.273
2.725 9.594
2.728 9.829
2.734 10.150
2.736 10.377
2.741 10.711
2.747 11.043
2.750 11.287
2.755 11.608
2.757 11.840
2.764 12.164
2.766 12.405
2.771 12.740
2.775 12.969
2.779 13.300
2.784 13.634
