V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.055 0.107
0.050 -0.002
0.106 0.006
0.143 -0.000
0.195 0.004
0.235 -0.004
0.286 -0.000
0.327 -0.003
0.381 -0.003
0.431 0.016
0.475 0.000
0.533 0.000
0.577 -0.008
0.635 -0.004
0.674 -0.003
0.727 0.009
0.766 0.014
0.817 -0.003
0.855 -0.002
0.913 -0.002
0.987 -0.007
1.018 0.001
1.079 -0.004
1.122 0.001
1.179 -0.002
1.211 -0.008
1.274 0.001
1.303 -0.002
1.359 -0.000
1.413 0.005
1.469 -0.002
1.525 -0.001
1.572 0.000
1.627 0.003
1.658 0.006
1.720 -0.005
1.766 0.002
1.815 -0.005
1.842 -0.002
1.928 -0.014
1.962 -0.003
2.009 -0.008
2.067 -0.001
2.105 -0.004
2.165 -0.006
2.221 0.002
2.261 -0.005
2.312 0.002
2.373 0.011
2.378 0.062
2.428 0.172
2.473 0.354
2.483 0.472
2.504 0.765
2.517 0.946
2.530 1.191
2.537 1.380
2.550 1.660
2.555 1.895
2.568 2.134
2.575 2.498
2.587 2.709
2.593 3.015
2.602 3.186
2.604 3.487
2.606 3.740
2.608 4.057
2.629 4.273
2.635 4.594
2.641 4.820
2.649 5.122
2.654 5.456
2.658 5.670
2.665 5.979
2.669 6.221
2.674 6.536
2.677 6.761
2.684 7.071
2.687 7.299
2.693 7.616
2.698 7.949
2.704 8.178
2.709 8.497
2.712 8.728
2.716 9.043
2.721 9.280
2.725 9.592
2.729 9.832
2.733 10.154
2.736 10.390
2.742 10.706
2.744 11.050
2.748 11.287
2.754 11.615
2.756 11.848
2.762 12.175
2.766 12.407
2.770 12.744
2.773 12.978
2.778 13.312
2.783 13.637
