V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.056 0.107
0.050 0.001
0.105 -0.005
0.145 0.000
0.197 -0.000
0.237 -0.009
0.288 -0.003
0.330 -0.004
0.384 0.005
0.426 0.003
0.471 0.000
0.535 0.000
0.584 0.004
0.632 0.002
0.665 -0.003
0.733 0.014
0.759 0.034
0.832 0.000
0.873 -0.001
0.948 -0.002
0.989 -0.003
1.010 -0.011
1.103 0.000
1.116 0.000
1.187 -0.008
1.222 -0.005
1.274 -0.013
1.301 -0.008
1.385 0.004
1.423 0.002
1.455 -0.007
1.517 -0.000
1.559 -0.004
1.622 0.004
1.661 -0.001
1.716 -0.010
1.756 0.002
1.824 0.000
1.856 -0.001
1.928 -0.007
1.979 0.002
2.025 -0.007
2.059 -0.005
2.098 0.003
2.182 0.000
2.201 -0.007
2.279 -0.002
2.318 0.002
2.368 0.013
2.401 0.050
2.432 0.171
2.471 0.356
2.486 0.496
2.507 0.744
2.514 0.913
2.533 1.178
2.540 1.403
2.551 1.655
2.560 1.868
2.569 2.145
2.579 2.445
2.583 2.702
2.594 2.965
2.602 3.217
2.608 3.533
2.608 3.715
2.611 4.045
2.630 4.273
2.637 4.592
2.641 4.814
2.649 5.130
2.653 5.451
2.658 5.670
2.665 5.977
2.669 6.216
2.674 6.536
2.680 6.761
2.685 7.073
2.688 7.295
2.693 7.619
2.698 7.942
2.701 8.168
2.709 8.492
2.710 8.730
2.715 9.049
2.720 9.273
2.726 9.596
2.728 9.836
2.733 10.152
2.736 10.387
2.741 10.711
2.747 11.046
2.749 11.288
2.754 11.602
2.758 11.840
2.763 12.174
2.767 12.403
2.772 12.739
2.774 12.973
2.779 13.304
2.783 13.637
