V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.056 0.106
0.049 -0.004
0.107 0.008
0.143 -0.002
0.196 -0.001
0.237 0.002
0.288 -0.001
0.328 0.010
0.385 -0.002
0.429 0.002
0.476 -0.000
0.538 0.006
0.578 -0.007
0.633 0.001
0.669 0.001
0.730 0.005
0.766 0.046
0.829 0.003
0.873 -0.007
0.941 0.003
1.007 0.000
1.028 -0.011
1.088 -0.002
1.119 -0.002
1.195 -0.000
1.220 -0.003
1.274 -0.003
1.322 0.002
1.386 -0.004
1.412 -0.011
1.459 0.001
1.539 -0.002
1.565 -0.006
1.623 -0.000
1.654 -0.002
1.720 -0.003
1.773 0.000
1.810 -0.003
1.856 -0.001
1.909 -0.002
1.958 -0.000
2.016 0.000
2.065 -0.000
2.122 0.003
2.158 -0.003
2.208 -0.003
2.256 0.001
2.297 -0.001
2.353 0.009
2.402 0.047
2.437 0.163
2.471 0.344
2.489 0.515
2.502 0.746
2.510 0.944
2.524 1.159
2.538 1.370
2.549 1.690
2.555 1.884
2.569 2.164
2.577 2.483
2.587 2.667
2.593 3.005
2.597 3.207
2.606 3.526
2.611 3.740
2.617 4.045
2.628 4.286
2.637 4.590
2.640 4.814
2.648 5.118
2.654 5.448
2.659 5.665
2.664 5.983
2.670 6.218
2.674 6.532
2.679 6.762
2.685 7.076
2.689 7.296
2.695 7.606
2.699 7.942
2.703 8.168
2.709 8.489
2.713 8.729
2.718 9.041
2.719 9.276
2.725 9.593
2.727 9.828
2.732 10.148
2.736 10.386
2.740 10.707
2.746 11.043
2.750 11.280
2.756 11.614
2.759 11.843
2.763 12.167
2.765 12.413
2.771 12.747
2.774 12.976
2.779 13.298
2.783 13.637
