V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.120
0.051 -0.003
0.106 -0.001
0.145 -0.005
0.198 -0.006
0.233 -0.001
0.294 -0.006
0.326 -0.002
0.382 -0.002
0.426 -0.007
0.480 0.006
0.538 0.000
0.579 -0.005
0.632 -0.006
0.668 0.001
0.727 0.026
0.763 0.048
0.835 -0.002
0.873 -0.002
0.948 -0.001
0.985 -0.007
1.021 -0.002
1.074 0.000
1.140 -0.003
1.178 -0.003
1.216 -0.003
1.292 -0.006
1.302 0.004
1.373 -0.009
1.424 -0.003
1.467 0.004
1.515 -0.001
1.576 0.008
1.624 0.023
1.664 0.095
1.680 0.179
1.699 0.330
1.727 0.514
1.759 0.693
1.773 0.937
1.777 1.232
1.793 1.443
1.787 1.656
1.801 1.918
1.819 2.143
1.810 2.406
1.820 2.655
1.828 2.931
1.853 3.224
1.849 3.447
1.862 3.690
1.861 4.077
1.871 4.245
1.883 4.585
1.882 4.825
1.893 5.085
1.891 5.339
1.905 5.652
1.908 5.853
1.912 6.166
1.920 6.554
1.923 6.758
1.929 7.051
1.932 7.309
1.938 7.633
1.943 7.847
1.942 8.169
1.957 8.412
1.961 8.741
1.966 8.969
1.971 9.283
1.976 9.612
1.979 9.849
1.983 10.158
1.988 10.388
1.992 10.714
1.996 10.938
2.001 11.280
2.005 11.518
2.009 11.830
2.013 12.162
2.017 12.381
2.022 12.722
2.025 12.944
2.031 13.271
2.032 13.504
2.037 13.825
2.038 14.065
2.046 14.391
2.047 14.618
2.053 14.944
2.059 15.281
2.062 15.515
2.065 15.833
2.068 16.068
2.073 16.406
2.077 16.642
2.082 16.974
2.085 17.199
2.090 17.525
2.095 17.867
