V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.117
0.050 -0.001
0.107 -0.005
0.144 -0.003
0.203 -0.002
0.234 -0.009
0.289 -0.005
0.329 0.012
0.381 -0.003
0.424 -0.003
0.471 -0.002
0.537 0.001
0.585 -0.002
0.629 0.000
0.666 0.005
0.730 0.013
0.762 0.040
0.838 -0.010
0.885 0.003
0.942 0.003
0.981 -0.001
1.023 0.003
1.079 0.001
1.139 0.006
1.181 0.000
1.217 -0.004
1.271 -0.011
1.328 0.000
1.385 0.002
1.406 -0.010
1.464 -0.001
1.532 0.001
1.551 0.007
1.632 0.023
1.664 0.092
1.696 0.179
1.717 0.321
1.719 0.503
1.746 0.662
1.764 0.956
1.778 1.206
1.775 1.392
1.803 1.685
1.794 1.921
1.818 2.144
1.824 2.415
1.835 2.646
1.836 2.920
1.837 3.198
1.850 3.416
1.866 3.751
1.871 4.043
1.868 4.279
1.880 4.547
1.891 4.823
1.892 5.122
1.898 5.333
1.902 5.652
1.907 5.904
1.916 6.164
1.923 6.517
1.924 6.748
1.930 7.081
1.937 7.272
1.942 7.589
1.939 7.843
1.943 8.165
1.959 8.400
1.963 8.725
1.967 8.958
1.973 9.282
1.977 9.612
1.982 9.842
1.986 10.159
1.989 10.385
1.993 10.723
1.998 10.931
2.001 11.263
2.005 11.497
2.010 11.821
2.015 12.150
2.018 12.382
2.022 12.707
2.027 12.941
2.032 13.279
2.034 13.500
2.037 13.820
2.042 14.070
2.048 14.385
2.049 14.605
2.054 14.934
2.059 15.272
2.062 15.511
2.067 15.828
2.069 16.059
2.074 16.397
2.079 16.638
2.083 16.964
2.086 17.194
2.092 17.518
2.096 17.855
