V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.050 0.117
0.049 0.002
0.108 -0.001
0.146 -0.002
0.202 0.001
0.235 -0.008
0.294 0.002
0.327 -0.004
0.382 -0.005
0.429 0.003
0.475 -0.002
0.536 -0.006
0.584 0.001
0.629 -0.004
0.662 0.003
0.720 0.015
0.754 0.046
0.850 -0.004
0.887 0.001
0.922 0.002
1.007 0.000
1.046 0.001
1.089 -0.008
1.142 -0.007
1.195 -0.013
1.215 0.001
1.275 -0.014
1.307 0.000
1.361 0.004
1.423 -0.005
1.456 0.003
1.514 0.001
1.576 0.013
1.605 0.018
1.649 0.087
1.702 0.189
1.721 0.315
1.739 0.495
1.751 0.673
1.759 0.963
1.776 1.230
1.774 1.440
1.789 1.707
1.809 1.906
1.818 2.184
1.816 2.400
1.835 2.675
1.834 2.926
1.843 3.196
1.846 3.368
1.856 3.740
1.873 4.036
1.866 4.302
1.877 4.604
1.887 4.823
1.887 5.132
1.891 5.359
1.902 5.641
1.906 5.888
1.916 6.192
1.917 6.507
1.927 6.748
1.933 7.042
1.937 7.296
1.937 7.645
1.941 7.836
1.952 8.178
1.956 8.410
1.961 8.732
1.965 8.972
1.971 9.276
1.976 9.617
1.980 9.845
1.984 10.164
1.987 10.404
1.992 10.718
1.996 10.957
2.001 11.278
2.003 11.522
2.009 11.835
2.013 12.152
2.017 12.390
2.021 12.723
2.025 12.956
2.028 13.275
2.032 13.508
2.037 13.823
2.038 14.069
2.043 14.391
2.048 14.615
2.053 14.946
2.058 15.285
2.060 15.513
2.065 15.832
2.067 16.067
2.073 16.401
2.077 16.637
2.082 16.969
2.085 17.201
2.090 17.525
2.094 17.868
