V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.117
0.050 -0.002
0.107 0.001
0.146 0.003
0.199 -0.005
0.235 -0.007
0.292 0.002
0.328 -0.005
0.379 0.007
0.421 0.006
0.474 -0.001
0.538 -0.002
0.582 0.003
0.630 -0.001
0.667 -0.002
0.729 0.005
0.759 0.023
0.822 0.006
0.885 0.004
0.931 -0.003
0.978 -0.010
1.018 0.006
1.081 -0.001
1.142 -0.006
1.179 -0.006
1.234 -0.002
1.275 0.004
1.322 0.001
1.370 -0.004
1.423 0.002
1.465 -0.002
1.523 -0.001
1.576 0.009
1.601 0.023
1.664 0.085
1.701 0.189
1.716 0.299
1.731 0.515
1.751 0.671
1.774 0.943
1.772 1.228
1.784 1.403
1.796 1.621
1.811 1.922
1.820 2.155
1.820 2.380
1.823 2.696
1.845 2.922
1.842 3.230
1.847 3.394
1.857 3.753
1.863 4.078
1.873 4.278
1.879 4.572
1.879 4.803
1.894 5.136
1.894 5.338
1.901 5.634
1.905 5.881
1.915 6.158
1.921 6.517
1.927 6.717
1.927 7.073
1.936 7.263
1.939 7.630
1.939 7.853
1.943 8.171
1.958 8.406
1.962 8.729
1.965 8.975
1.971 9.273
1.976 9.617
1.980 9.849
1.985 10.165
1.988 10.390
1.994 10.708
1.997 10.939
2.002 11.276
2.004 11.510
2.010 11.828
2.014 12.152
2.019 12.383
2.023 12.716
2.026 12.944
2.029 13.265
2.034 13.499
2.037 13.832
2.040 14.067
2.046 14.389
2.049 14.622
2.053 14.940
2.058 15.287
2.060 15.509
2.066 15.836
2.070 16.071
2.074 16.401
2.078 16.637
2.082 16.965
2.086 17.193
2.091 17.529
2.095 17.864
