V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.115
0.050 0.003
0.106 -0.002
0.146 -0.002
0.197 -0.002
0.238 0.003
0.292 0.004
0.326 -0.003
0.384 0.000
0.430 0.000
0.472 0.001
0.538 0.003
0.583 0.001
0.635 0.003
0.667 -0.001
0.724 0.011
0.754 0.043
0.846 -0.003
0.893 0.000
0.941 0.002
0.983 -0.001
1.046 -0.005
1.080 -0.001
1.128 -0.000
1.172 0.004
1.218 0.000
1.274 0.007
1.318 -0.002
1.367 -0.004
1.404 0.003
1.467 -0.006
1.522 -0.002
1.571 0.002
1.612 0.028
1.645 0.094
1.701 0.190
1.703 0.310
1.721 0.524
1.742 0.691
1.773 0.928
1.775 1.207
1.772 1.420
1.800 1.668
1.799 1.928
1.813 2.194
1.819 2.414
1.826 2.701
1.834 2.881
1.845 3.197
1.847 3.456
1.852 3.687
1.863 4.015
1.865 4.300
1.878 4.584
1.882 4.828
1.890 5.131
1.898 5.329
1.904 5.637
1.909 5.902
1.911 6.228
1.919 6.553
1.924 6.759
1.929 7.040
1.937 7.278
1.938 7.592
1.937 7.830
1.951 8.172
1.955 8.415
1.961 8.739
1.964 8.972
1.970 9.299
1.975 9.622
1.979 9.854
1.985 10.175
1.987 10.389
1.992 10.716
1.995 10.957
2.000 11.275
2.004 11.515
2.008 11.827
2.013 12.153
2.018 12.391
2.022 12.730
2.025 12.967
2.029 13.274
2.031 13.511
2.037 13.827
2.039 14.080
2.045 14.386
2.048 14.617
2.052 14.951
2.056 15.290
2.060 15.515
2.064 15.836
2.069 16.077
2.072 16.409
2.077 16.641
2.081 16.971
2.084 17.202
2.090 17.531
2.094 17.867
