V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.118
0.050 -0.001
0.107 0.000
0.145 0.001
0.195 0.006
0.238 -0.012
0.292 0.009
0.330 0.002
0.381 -0.011
0.431 -0.013
0.471 -0.005
0.538 -0.007
0.585 0.005
0.635 -0.006
0.674 -0.003
0.724 0.021
0.764 0.030
0.824 -0.001
0.890 0.000
0.946 -0.011
1.007 -0.007
1.030 0.000
1.084 0.001
1.121 -0.002
1.181 0.003
1.229 0.003
1.292 -0.002
1.305 -0.002
1.379 0.003
1.416 -0.005
1.479 -0.010
1.527 0.000
1.560 0.002
1.605 0.029
1.664 0.087
1.693 0.198
1.722 0.311
1.733 0.511
1.757 0.678
1.774 0.950
1.771 1.209
1.789 1.423
1.796 1.647
1.800 1.886
1.825 2.153
1.811 2.398
1.834 2.642
1.840 2.919
1.841 3.205
1.848 3.447
1.851 3.747
1.868 4.043
1.871 4.296
1.878 4.609
1.888 4.821
1.887 5.128
1.899 5.359
1.901 5.679
1.909 5.841
1.913 6.143
1.917 6.540
1.924 6.759
1.929 7.056
1.935 7.276
1.935 7.601
1.937 7.848
1.952 8.171
1.957 8.422
1.962 8.729
1.966 8.965
1.971 9.273
1.977 9.616
1.981 9.845
1.984 10.160
1.989 10.384
1.992 10.720
1.998 10.942
2.002 11.278
2.004 11.502
2.011 11.831
2.014 12.165
2.019 12.387
2.022 12.717
2.024 12.950
2.031 13.275
2.032 13.501
2.038 13.822
2.040 14.065
2.045 14.381
2.050 14.611
2.053 14.945
2.058 15.283
2.060 15.502
2.067 15.833
2.070 16.064
2.075 16.400
2.078 16.641
2.082 16.962
2.086 17.196
2.090 17.529
2.095 17.860
