V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.116
0.050 0.000
0.106 -0.008
0.145 0.002
0.197 -0.004
0.235 0.002
0.287 -0.002
0.330 -0.012
0.386 0.004
0.426 -0.009
0.470 -0.002
0.537 0.008
0.579 -0.004
0.635 0.005
0.668 0.001
0.724 0.022
0.758 0.030
0.834 -0.008
0.872 -0.010
0.941 0.006
0.989 0.000
1.019 0.001
1.089 -0.007
1.114 0.006
1.196 -0.012
1.211 0.004
1.260 -0.006
1.308 -0.002
1.361 -0.004
1.411 -0.005
1.468 0.007
1.515 -0.005
1.571 0.005
1.612 0.022
1.656 0.091
1.680 0.199
1.722 0.314
1.733 0.505
1.755 0.678
1.774 0.941
1.776 1.182
1.776 1.437
1.808 1.661
1.814 1.869
1.817 2.171
1.818 2.406
1.834 2.694
1.829 2.878
1.854 3.237
1.850 3.439
1.860 3.699
1.872 4.035
1.878 4.235
1.884 4.591
1.884 4.755
1.895 5.091
1.896 5.359
1.905 5.666
1.908 5.891
1.911 6.206
1.922 6.531
1.928 6.754
1.930 7.070
1.935 7.307
1.939 7.587
1.947 7.835
1.941 8.165
1.958 8.410
1.963 8.721
1.966 8.962
1.972 9.265
1.978 9.602
1.980 9.843
1.985 10.156
1.989 10.389
1.993 10.708
1.998 10.936
2.001 11.263
2.007 11.499
2.011 11.832
2.015 12.152
2.019 12.376
2.022 12.715
2.027 12.939
2.030 13.266
2.032 13.501
2.039 13.815
2.042 14.067
2.046 14.385
2.050 14.604
2.055 14.928
2.058 15.271
2.062 15.503
2.066 15.827
2.069 16.057
2.076 16.396
2.079 16.634
2.083 16.961
2.087 17.193
2.091 17.515
2.096 17.858
