V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.114
0.051 -0.002
0.107 0.008
0.143 -0.005
0.203 0.007
0.235 -0.002
0.293 -0.005
0.332 0.003
0.385 -0.004
0.423 -0.000
0.475 -0.005
0.535 0.000
0.575 -0.003
0.623 0.003
0.672 0.006
0.723 0.022
0.762 0.028
0.850 -0.003
0.891 -0.017
0.948 -0.004
0.979 0.002
1.018 0.002
1.088 0.001
1.126 -0.002
1.181 -0.001
1.212 -0.005
1.274 -0.009
1.314 -0.005
1.373 -0.005
1.424 -0.007
1.465 -0.002
1.514 -0.005
1.564 -0.002
1.633 0.016
1.663 0.091
1.702 0.209
1.706 0.324
1.724 0.473
1.760 0.673
1.766 0.948
1.777 1.191
1.794 1.395
1.799 1.689
1.800 1.875
1.816 2.141
1.831 2.362
1.835 2.696
1.842 2.887
1.844 3.234
1.850 3.444
1.853 3.704
1.864 4.067
1.874 4.293
1.880 4.576
1.884 4.772
1.893 5.130
1.892 5.358
1.906 5.673
1.907 5.870
1.917 6.175
1.919 6.548
1.926 6.696
1.929 7.007
1.936 7.257
1.938 7.627
1.948 7.821
1.944 8.166
1.957 8.407
1.962 8.719
1.966 8.960
1.972 9.266
1.977 9.607
1.981 9.845
1.985 10.154
1.988 10.382
1.993 10.718
1.996 10.935
2.002 11.274
2.005 11.510
2.010 11.824
2.014 12.156
2.019 12.383
2.020 12.722
2.026 12.955
2.031 13.269
2.033 13.498
2.038 13.822
2.043 14.070
2.047 14.378
2.050 14.610
2.053 14.937
2.060 15.278
2.063 15.498
2.069 15.833
2.069 16.061
2.075 16.387
2.079 16.635
2.083 16.961
2.087 17.192
2.091 17.524
2.096 17.859
