V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.016 0.004
0.047 -0.003
0.105 0.000
0.143 -0.003
0.194 0.001
0.238 0.003
0.293 -0.001
0.329 0.002
0.384 0.002
0.423 -0.011
0.470 -0.003
0.538 0.003
0.584 0.011
0.627 -0.006
0.668 -0.002
0.730 0.028
0.760 0.037
0.844 0.002
0.885 -0.012
0.948 -0.008
0.982 -0.007
1.014 -0.011
1.103 0.007
1.124 0.001
1.198 -0.005
1.227 0.006
1.276 0.000
1.327 -0.003
1.385 -0.004
1.420 0.002
1.459 0.004
1.525 0.023
1.558 0.085
1.597 0.185
1.598 0.309
1.624 0.509
1.662 0.699
1.671 0.922
1.677 1.079
1.688 1.394
1.700 1.622
1.710 1.896
1.733 2.156
1.719 2.341
1.750 2.636
1.742 2.798
1.749 3.148
1.759 3.378
1.767 3.688
1.783 3.910
1.783 4.135
1.797 4.525
1.791 4.757
1.803 5.063
1.809 5.279
1.818 5.543
1.824 5.781
1.831 6.087
1.833 6.297
1.841 6.603
1.850 6.976
1.854 7.205
1.859 7.520
1.864 7.749
1.870 8.068
1.869 8.288
1.880 8.599
1.888 8.834
1.894 9.138
1.899 9.364
1.904 9.691
1.910 10.015
1.915 10.242
1.921 10.555
1.923 10.792
1.929 11.096
1.934 11.326
1.940 11.647
1.943 11.881
1.947 12.203
1.954 12.519
1.958 12.763
1.962 13.091
1.964 13.307
1.972 13.621
1.975 13.844
1.983 14.185
1.985 14.411
1.991 14.723
1.992 14.966
1.999 15.277
2.004 15.615
2.008 15.836
2.012 16.161
2.018 16.395
2.023 16.717
2.026 16.954
2.032 17.272
2.035 17.506
2.041 17.832
2.046 18.165
