V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.130
0.049 -0.002
0.105 -0.001
0.146 0.000
0.196 0.001
0.237 0.001
0.288 -0.003
0.325 -0.001
0.380 -0.003
0.422 -0.003
0.475 0.000
0.536 -0.006
0.581 0.005
0.633 0.006
0.671 0.001
0.725 0.010
0.757 0.045
0.844 0.001
0.873 -0.003
0.948 0.000
0.984 0.000
1.012 -0.009
1.098 0.011
1.114 0.004
1.180 -0.000
1.213 -0.000
1.272 -0.004
1.312 -0.001
1.369 0.000
1.417 0.006
1.479 0.015
1.530 0.029
1.552 0.117
1.586 0.199
1.609 0.336
1.651 0.512
1.652 0.637
1.664 0.879
1.680 1.098
1.701 1.408
1.714 1.684
1.708 1.881
1.716 2.172
1.728 2.394
1.744 2.671
1.741 2.819
1.754 3.164
1.760 3.398
1.766 3.701
1.772 3.914
1.789 4.193
1.796 4.525
1.789 4.708
1.804 5.019
1.814 5.239
1.820 5.543
1.820 5.831
1.830 6.132
1.829 6.362
1.838 6.658
1.844 6.990
1.850 7.189
1.857 7.525
1.861 7.762
1.871 8.065
1.871 8.265
1.869 8.606
1.888 8.831
1.894 9.158
1.897 9.368
1.903 9.691
1.909 10.020
1.913 10.257
1.919 10.560
1.923 10.801
1.929 11.107
1.933 11.328
1.939 11.651
1.942 11.888
1.947 12.202
1.952 12.515
1.957 12.772
1.960 13.085
1.964 13.311
1.971 13.635
1.976 13.860
1.979 14.189
1.982 14.413
1.989 14.727
1.993 14.974
1.997 15.283
2.002 15.621
2.007 15.838
2.012 16.162
2.015 16.393
2.022 16.712
2.025 16.961
2.031 17.289
2.034 17.518
2.039 17.845
2.045 18.171
