V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.050 0.133
0.050 -0.004
0.105 0.000
0.146 -0.008
0.198 -0.010
0.236 -0.010
0.291 -0.003
0.326 0.000
0.382 -0.002
0.425 -0.005
0.478 0.002
0.538 -0.006
0.584 -0.005
0.626 -0.002
0.662 0.003
0.731 0.026
0.765 0.028
0.833 0.001
0.870 -0.007
0.927 -0.002
0.989 -0.007
1.021 -0.002
1.081 -0.008
1.114 0.001
1.181 -0.008
1.213 -0.003
1.271 0.003
1.328 -0.009
1.361 0.005
1.415 -0.006
1.454 0.013
1.535 0.015
1.565 0.111
1.602 0.199
1.597 0.334
1.650 0.492
1.646 0.703
1.680 0.884
1.688 1.111
1.699 1.399
1.714 1.660
1.717 1.894
1.716 2.108
1.738 2.350
1.739 2.596
1.744 2.840
1.762 3.127
1.750 3.379
1.765 3.706
1.773 3.878
1.789 4.203
1.792 4.541
1.794 4.748
1.807 5.062
1.812 5.256
1.814 5.587
1.818 5.805
1.828 6.128
1.834 6.339
1.841 6.665
1.845 6.957
1.851 7.192
1.855 7.450
1.863 7.762
1.866 8.069
1.871 8.300
1.872 8.612
1.887 8.844
1.894 9.148
1.898 9.378
1.905 9.709
1.909 10.019
1.912 10.246
1.920 10.566
1.922 10.796
1.928 11.109
1.932 11.327
1.939 11.646
1.942 11.888
1.947 12.209
1.954 12.521
1.955 12.756
1.963 13.093
1.964 13.310
1.971 13.630
1.975 13.853
1.978 14.185
1.983 14.414
1.989 14.724
1.992 14.982
1.997 15.277
2.003 15.623
2.006 15.842
2.012 16.171
2.016 16.399
2.021 16.722
2.026 16.961
2.031 17.278
2.034 17.515
2.040 17.841
2.045 18.166
