V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.050 0.137
0.049 -0.006
0.106 0.000
0.142 0.002
0.203 0.005
0.237 0.001
0.295 0.002
0.330 -0.012
0.382 -0.000
0.424 -0.004
0.476 -0.005
0.535 -0.012
0.577 -0.003
0.635 0.006
0.668 -0.003
0.729 0.007
0.765 0.045
0.826 -0.011
0.886 0.005
0.948 -0.010
1.004 -0.018
1.046 -0.002
1.089 0.002
1.139 0.009
1.187 -0.005
1.225 0.001
1.267 -0.005
1.322 0.005
1.363 -0.007
1.402 -0.001
1.475 0.007
1.535 0.029
1.564 0.099
1.604 0.188
1.623 0.331
1.630 0.487
1.652 0.712
1.680 0.910
1.671 1.109
1.686 1.426
1.696 1.628
1.715 1.884
1.722 2.161
1.727 2.397
1.737 2.665
1.740 2.880
1.752 3.187
1.757 3.396
1.765 3.688
1.770 3.924
1.781 4.146
1.789 4.538
1.798 4.751
1.801 5.001
1.806 5.290
1.811 5.591
1.819 5.818
1.826 6.132
1.832 6.348
1.840 6.676
1.848 6.936
1.856 7.183
1.857 7.522
1.861 7.741
1.865 8.069
1.875 8.283
1.869 8.608
1.886 8.833
1.893 9.153
1.898 9.369
1.904 9.694
1.909 10.017
1.912 10.252
1.919 10.565
1.923 10.794
1.929 11.115
1.933 11.321
1.938 11.646
1.940 11.882
1.948 12.208
1.953 12.527
1.956 12.761
1.962 13.093
1.965 13.313
1.971 13.625
1.975 13.851
1.981 14.192
1.984 14.413
1.990 14.718
1.992 14.973
1.998 15.285
2.003 15.628
2.007 15.842
2.013 16.168
2.017 16.391
2.021 16.718
2.026 16.957
2.031 17.273
2.033 17.510
2.040 17.841
2.045 18.166
