V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.050 0.140
0.049 -0.005
0.104 -0.013
0.146 -0.002
0.198 -0.002
0.237 0.005
0.287 0.002
0.331 -0.013
0.383 -0.003
0.422 0.007
0.479 0.000
0.536 -0.007
0.585 -0.001
0.629 -0.001
0.674 -0.001
0.733 0.014
0.757 0.042
0.850 -0.012
0.866 -0.003
0.931 -0.002
1.000 0.001
1.031 -0.002
1.094 -0.012
1.142 -0.002
1.183 -0.003
1.210 -0.002
1.290 0.001
1.311 -0.005
1.385 -0.003
1.415 -0.001
1.462 0.013
1.532 0.022
1.564 0.092
1.582 0.189
1.599 0.321
1.650 0.487
1.635 0.714
1.661 0.892
1.690 1.067
1.679 1.396
1.702 1.701
1.712 1.890
1.722 2.179
1.728 2.395
1.729 2.659
1.739 2.857
1.750 3.179
1.766 3.361
1.767 3.679
1.766 3.929
1.782 4.204
1.793 4.474
1.798 4.741
1.798 5.065
1.804 5.205
1.811 5.591
1.819 5.830
1.832 6.096
1.832 6.367
1.837 6.585
1.850 6.995
1.851 7.211
1.854 7.488
1.864 7.763
1.868 8.069
1.875 8.264
1.878 8.606
1.887 8.837
1.893 9.150
1.897 9.370
1.903 9.694
1.908 10.015
1.912 10.259
1.919 10.563
1.922 10.792
1.929 11.109
1.933 11.328
1.938 11.647
1.941 11.888
1.947 12.207
1.953 12.531
1.955 12.769
1.960 13.096
1.963 13.322
1.971 13.636
1.974 13.851
1.982 14.182
1.982 14.420
1.989 14.718
1.993 14.974
1.997 15.280
2.002 15.616
2.005 15.840
2.012 16.159
2.016 16.396
2.021 16.718
2.025 16.958
2.031 17.281
2.034 17.514
2.039 17.835
2.045 18.166
