V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.050 0.139
0.050 0.002
0.105 0.001
0.146 -0.007
0.198 -0.002
0.238 -0.007
0.291 -0.003
0.325 -0.001
0.382 -0.004
0.426 -0.000
0.472 -0.006
0.537 0.003
0.575 0.000
0.627 -0.001
0.667 -0.003
0.720 0.010
0.758 0.037
0.851 -0.008
0.892 0.000
0.929 -0.003
0.997 0.003
1.014 0.004
1.090 -0.001
1.137 -0.010
1.193 -0.010
1.235 0.000
1.272 -0.008
1.310 -0.001
1.354 -0.000
1.414 0.003
1.464 0.011
1.534 0.029
1.547 0.110
1.602 0.195
1.606 0.315
1.646 0.497
1.648 0.712
1.670 0.878
1.676 1.096
1.680 1.401
1.698 1.660
1.702 1.896
1.716 2.156
1.732 2.391
1.749 2.614
1.743 2.886
1.745 3.184
1.751 3.387
1.771 3.682
1.770 3.866
1.779 4.139
1.793 4.502
1.791 4.672
1.802 5.064
1.814 5.243
1.814 5.579
1.816 5.830
1.832 6.111
1.834 6.365
1.841 6.621
1.848 6.923
1.853 7.154
1.862 7.495
1.863 7.751
1.872 8.070
1.871 8.301
1.882 8.601
1.888 8.836
1.894 9.152
1.896 9.375
1.904 9.696
1.909 10.027
1.912 10.257
1.919 10.563
1.922 10.793
1.928 11.106
1.932 11.326
1.938 11.656
1.941 11.882
1.948 12.202
1.952 12.529
1.957 12.774
1.960 13.094
1.965 13.312
1.970 13.623
1.974 13.851
1.980 14.190
1.984 14.420
1.988 14.721
1.994 14.968
1.999 15.286
2.002 15.628
2.007 15.839
2.013 16.172
2.017 16.397
2.022 16.722
2.025 16.961
2.030 17.285
2.033 17.516
2.040 17.838
2.045 18.165
