V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.050 0.140
0.049 -0.001
0.106 -0.006
0.142 0.004
0.198 0.006
0.237 -0.003
0.294 -0.006
0.330 0.008
0.382 0.001
0.426 -0.008
0.478 0.000
0.535 -0.004
0.575 -0.001
0.635 -0.008
0.668 -0.003
0.731 0.008
0.763 0.043
0.844 0.001
0.893 0.001
0.948 -0.004
0.990 -0.005
1.022 -0.010
1.086 -0.006
1.118 -0.001
1.189 -0.007
1.228 -0.013
1.259 -0.002
1.327 -0.006
1.374 -0.002
1.398 0.001
1.473 0.006
1.528 0.024
1.565 0.098
1.604 0.184
1.620 0.290
1.637 0.506
1.661 0.697
1.681 0.886
1.691 1.117
1.698 1.399
1.708 1.692
1.717 1.887
1.725 2.177
1.729 2.335
1.729 2.623
1.746 2.875
1.763 3.149
1.765 3.392
1.760 3.666
1.772 3.897
1.787 4.182
1.790 4.537
1.790 4.749
1.801 5.024
1.812 5.281
1.819 5.588
1.822 5.805
1.833 6.112
1.835 6.312
1.838 6.671
1.850 6.982
1.853 7.178
1.859 7.473
1.861 7.715
1.872 8.030
1.874 8.294
1.880 8.603
1.888 8.828
1.894 9.137
1.899 9.365
1.903 9.700
1.910 10.004
1.915 10.247
1.920 10.558
1.923 10.790
1.930 11.113
1.933 11.324
1.939 11.641
1.941 11.878
1.949 12.196
1.954 12.523
1.957 12.765
1.962 13.087
1.967 13.306
1.972 13.631
1.976 13.848
1.982 14.184
1.983 14.412
1.989 14.717
1.993 14.968
1.999 15.278
2.002 15.617
2.008 15.836
2.013 16.164
2.017 16.387
2.021 16.722
2.025 16.948
2.031 17.272
2.035 17.509
2.041 17.838
2.046 18.167
