V_range: 0-5V, V_Step: 0.05V, Delay: 50 ms
Date : 2021-12-07
voltage current
0.051 0.146
0.050 -0.001
0.107 0.002
0.144 0.000
0.195 -0.004
0.235 -0.006
0.291 -0.002
0.325 -0.006
0.381 -0.001
0.424 0.001
0.478 -0.005
0.536 -0.006
0.580 -0.000
0.631 0.000
0.666 0.001
0.732 -0.019
0.774 -0.000
0.834 -0.002
0.885 0.002
0.943 -0.004
0.988 -0.002
1.030 -0.004
1.085 0.004
1.140 0.002
1.185 -0.002
1.241 -0.006
1.284 0.002
1.310 -0.004
1.373 0.000
1.412 0.003
1.466 0.012
1.536 0.031
1.545 0.094
1.606 0.235
1.626 0.336
1.652 0.535
1.642 0.732
1.669 0.931
1.673 1.153
1.703 1.418
1.713 1.652
1.724 1.899
1.723 2.178
1.734 2.384
1.750 2.645
1.749 2.851
1.758 3.179
1.773 3.381
1.774 3.706
1.782 3.928
1.792 4.215
1.798 4.542
1.807 4.718
1.812 5.055
1.820 5.276
1.826 5.545
1.829 5.815
1.841 6.063
1.845 6.337
1.851 6.593
1.857 6.973
1.861 7.207
1.872 7.497
1.874 7.723
1.879 8.003
1.884 8.286
1.891 8.601
1.898 8.831
1.904 9.147
1.909 9.363
1.915 9.694
1.921 10.006
1.926 10.237
1.932 10.537
1.936 10.761
1.941 11.088
1.947 11.330
1.953 11.646
1.955 11.848
1.961 12.179
1.967 12.491
1.971 12.741
1.976 13.051
1.981 13.285
1.988 13.596
1.992 13.822
1.996 14.152
2.000 14.372
2.005 14.688
2.010 14.912
2.015 15.233
2.022 15.575
2.026 15.799
2.032 16.131
2.035 16.352
2.041 16.672
2.045 16.900
2.050 17.225
2.054 17.452
2.060 17.777
2.066 18.103
